Name,decScore,pBat_speed,smash_factor,95th_pBat_speed,std_pBat_speed,conScore,xRV,std_EV,EV95,count,sprint_speed,decGrade,powGrade,altPowGrade,conGrade,SFGrade,speedGrade,95thPowGrade,EV95Grade,stdEVGrade,decScore_bayes,decScore_ci_lower,decScore_ci_upper,decScore_bayes_grade,decScore_ci_lower_grade,decScore_ci_upper_grade,95th_pBat_speed_bayes,95th_pBat_speed_ci_lower,95th_pBat_speed_ci_upper,95th_pBat_speed_bayes_grade,95th_pBat_speed_ci_lower_grade,95th_pBat_speed_ci_upper_grade,smash_factor_bayes,smash_factor_ci_lower,smash_factor_ci_upper,smash_factor_bayes_grade,smash_factor_ci_lower_grade,smash_factor_ci_upper_grade,conScore_bayes,conScore_ci_lower,conScore_ci_upper,conScore_bayes_grade,conScore_ci_lower_grade,conScore_ci_upper_grade,IDfg
Daniel Johnson,0.06236111880605285,80.84615032203924,1.1155586251348566,80.84615032203924,,0.0,-0.10242886297376093,,100.3,1,4.473770161290323,219.81463395538594,226.00755589827375,,75.42571525288164,181.36039408079034,50.402215167830754,75.30157406167193,32.709283804946224,,,,,,,,,,,,,,,,,,,,,,,,,,19643
David Bañuelos,0.031180559403026425,79.3259484538196,1.0485849533318863,79.3259484538196,,0.0,-0.06448399457553368,,87.3,2,4.473770161290323,209.51739424964288,195.77735438081262,,75.42571525288164,168.85367322633985,50.402215167830754,25.088591083571906,-16.59640068237563,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Luis Castillo,0.0,,,,,,-0.06236111880605285,,,3,4.473770161290323,199.2201545438998,,,,,50.402215167830754,,,,,,,,,,,,,,,,,,,,,,,,,,,,15689
Matt Duffy,-0.20459595679779896,66.98424805598115,0.5473073876012384,74.24087320462493,,-0.15384615384615385,0.039722279487526255,,104.62,31,4.473770161290323,131.65325868608195,-49.64537393863759,,48.40813555355179,75.24467111525041,50.402215167830754,-142.87383697817313,49.09394203457936,,-0.4343203390044434,-0.48179373460839386,-0.38571960682942286,59.05058328779956,50.7496185260271,66.48948269272071,74.24104643206914,74.23914717567872,74.24294568845954,-9.46164220308767,-9.461739588900677,-9.458824686429459,0.4133501882863886,0.3096392690996369,0.510186053591931,52.9489418425616,42.48015446223856,62.644471119143205,-0.15539680515303694,-0.24551634583864773,-0.056957404910666365,50.10829791784552,42.749886667367825,60.64651664246089,13836
José Devers,-0.31774305363182015,69.61614626475524,0.5003293722101733,77.92268519084763,,0.0,0.002576384271710353,,98.875,18,4.473770161290323,94.28693811917923,2.6916313551823663,,75.42571525288164,66.47195627111563,50.402215167830754,-21.261854742366907,27.304622236143643,,-0.44768136503194045,-0.496866642095664,-0.4026714086018097,52.277614753913255,43.95790497735471,58.54389768348018,77.92275494488156,77.92085568849114,77.92465420127198,29.30938813341969,29.30848486239549,29.311086274108106,,,,,,,,,,,,,20540
Ben Gamel,-0.32876314416398067,70.20743582769984,0.4419324156945406,79.70599892087452,0.3487394245034549,-0.2191780821917808,0.00628226827599066,2.9579272021693397,104.04999999999998,381,4.473770161290323,90.6476027140026,14.449808355662284,18.29632543203615,36.93491677712405,55.56685857781417,50.402215167830754,37.64183682809715,46.93207740705824,69.8867798665456,-0.39603264879439715,-0.4350301435121542,-0.35954034645679583,78.45937124271748,71.82086277675582,78.76012752226211,79.70615669547783,79.70425743908741,79.70805595186825,48.089887223427674,48.088593585514985,48.091043143824216,0.4243941578189693,0.3546196748118035,0.4872204480738492,55.30798757302876,50.86107514738744,57.89872875834839,-0.1969224758611125,-0.26134616711920844,-0.13581200301057578,41.94811886707149,40.13560547441109,44.90034786384656,12160
Jason Delay,-0.33874551772747025,70.8398600442532,0.6817379693358833,79.42534626828012,0.016537616150617558,-0.15789473684210525,-0.024110781218789828,0.7778174593052133,97.875,37,4.473770161290323,87.35096867716913,27.025974660023437,-28.623565670948153,47.69714661409574,100.34835312633624,50.402215167830754,28.37174766290929,23.511877275580424,3.205305172604902,-0.4429632527159805,-0.4892258053361891,-0.3916903153354606,54.66931926744187,47.400795779036294,63.690914573702486,79.42506674969695,79.42316749330654,79.42696600608735,45.12980855961389,45.128576449176705,45.13104994178153,0.44553129156013377,0.34949995383643495,0.5376862691167679,59.822982381671224,49.907149215744475,68.32727088875737,-0.1570166008189548,-0.24190861912819436,-0.06093326699973743,49.78999306125504,43.34569959041377,59.852592166228234,19806
Dan Vogelbach,-0.34179053991662633,70.9978372918733,0.5779088858552339,79.9971760479412,0.284180402964405,-0.10526315789473684,0.011468418148898108,1.3606721028332074,106.55999999999999,332,4.91,86.3453637749042,30.16745483483887,9.178066036198729,56.94000282702437,80.95922111807259,73.39528019314588,47.259554336979114,56.451867258071935,21.032667895913477,-0.40830809145716007,-0.4474725990002608,-0.37052143972314494,72.23670640220945,66.21440671718693,73.61311063203982,79.99674292321076,79.99579329501556,79.99864217960118,51.14996854480269,51.15861135867671,51.151036116205994,0.4810767829034069,0.406328856663026,0.5597742081819294,67.41567261350596,60.49572705698136,72.89164729945811,-0.11895140266988555,-0.1788102152331221,-0.06505638324025556,57.27015719113123,53.766346020013394,59.02926307976474,14130
Mickey Gasper,-0.35454262359237293,72.05587536557235,0.40829288176488765,80.57894560904833,0.19018258573216473,-0.14285714285714285,-0.0037589082242470316,1.0606601717798212,103.47500000000001,92,4.473770161290323,82.13404541272912,51.20722912384652,-4.098102959758705,50.3379626749325,49.28498318997967,50.402215167830754,66.4756766689831,44.75124905473449,11.856415161895278,-0.43820338719368473,-0.48283756476679207,-0.3918155749544684,57.08218930763885,50.279278252573334,63.63220335442239,80.57886500687185,80.57696575048143,80.58076426326227,57.28013145330911,57.27864678921404,57.28102203800372,0.4012822745587341,0.3107363521657873,0.4970941956692028,50.37117664039549,42.684567161876345,59.93909569690666,-0.1529671116541602,-0.24492732923285943,-0.05820906519796651,50.585755202731235,42.847162246640636,60.39657745549876,-1
Dustin Harris,-0.35796717101763154,72.00726231681938,0.46860382338396933,80.14451869055326,,-0.2,0.04552135935659785,,101.95,23,4.473770161290323,81.00310400575262,50.24052707532088,,40.302861643752834,60.547500101370815,50.402215167830754,52.12635114870276,38.96731298987555,,-0.4465957816672063,-0.493359372763446,-0.39741050460348276,52.827918447291516,45.53824829615938,61.009768893244484,80.14488492166285,80.14298566527245,80.14583454985805,52.710010002758665,52.7086203320972,52.70103255646471,0.4051586347257989,0.307225686354106,0.5060171379405595,51.19918606897006,42.03044652303545,61.78298285619637,-0.16268588564966724,-0.2620824378764438,-0.06549814569459679,48.67592606318838,40.01401100032009,58.94104924907222,-1
